== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  0  0  1  0   8  5 | length_budget | rem=82 not in [16,48]
 0  0  0  1  0   8  6 | length_budget | rem=83 not in [16,48]
 0  0  0  1  0   8  7 | length_budget | rem=84 not in [16,48]
 0  0  0  1  0   8  8 | length_budget | rem=85 not in [16,48]
 0  0  0  1  0   9  0 | length_budget | rem=72 not in [15,45]
 0  0  0  1  0   9  1 | length_budget | rem=73 not in [15,45]
 0  0  0  1  0   9  2 | length_budget | rem=74 not in [15,45]
 0  0  0  1  0   9  3 | length_budget | rem=75 not in [15,45]
 0  0  0  1  0   9  4 | length_budget | rem=76 not in [15,45]
 0  0  0  1  0   9  5 | length_budget | rem=77 not in [15,45]
 0  0  0  1  0   9  6 | length_budget | rem=78 not in [15,45]
 0  0  0  1  0   9  7 | length_budget | rem=79 not in [15,45]
 0  0  0  1  0   9  8 | length_budget | rem=80 not in [15,45]
 0  0  0  1  0   9  9 | length_budget | rem=81 not in [15,45]
 0  0  0  1  0  10  0 | length_budget | rem=67 not in [14,42]
